name,date,value,category
Azhar Ali ,1982-12-31,0,PAK
Azhar Hossain ,1982-12-31,0,BAN
Azhar Mahmood ,1982-12-31,0,PAK
Azhar Saeed ,1982-12-31,0,UAE
Azmat Rana ,1982-12-31,0,PAK
Azmatullah Omarzai ,1982-12-31,0,AFG
B Arun ,1982-12-31,0,IND
B Bhandari ,1982-12-31,0,NEP
B Evans ,1982-12-31,0,ZIM
B Fernando ,1982-12-31,0,SL
B Geeves ,1982-12-31,0,AUS
B Kumar ,1982-12-31,0,IND
B Laughlin ,1982-12-31,0,AUS
B Lee ,1982-12-31,0,AUS
B Mavuta ,1982-12-31,0,ZIM
B McMullen ,1982-12-31,0,SCOT
B Muzarabani ,1982-12-31,0,ZIM
B Reddy ,1982-12-31,0,IND
B Regmi ,1982-12-31,0,NEP
B Sharki ,1982-12-31,0,NEP
B Shikongo ,1982-12-31,0,NAM
B Stanlake ,1982-12-31,0,AUS
B Ward ,1982-12-31,0,JER
B Warnapura ,1982-12-31,96,SL
B White ,1982-12-31,0,IRE
B Wood ,1982-12-31,93,ENG
B Yardley ,1982-12-31,51,AUS
B Yograj Singh ,1982-12-31,0,IND
B Zuiderent ,1982-12-31,0,NED
BA Carse ,1982-12-31,0,ENG
BA Edgar ,1982-12-31,93,NZ
BA King ,1982-12-31,0,WI
BA Murphy ,1982-12-31,0,ZIM
BA Parchment ,1982-12-31,0,WI
BA Reid ,1982-12-31,0,AUS
BA Stokes ,1982-12-31,0,ENG
BA Westdijk ,1982-12-31,0,NED
BA Williams ,1982-12-31,0,AUS
BA Young ,1982-12-31,0,NZ
Babar Azam ,1982-12-31,0,PAK
Babar Hayat ,1982-12-31,0,HKG
Badal Singh ,1982-12-31,0,OMA
Basil Hameed ,1982-12-31,0,UAE
Basir Ahamad ,1982-12-31,0,NEP
Basit Ali ,1982-12-31,0,PAK
BAW Mendis ,1982-12-31,0,SL
Bazid Khan ,1982-12-31,0,PAK
BB Chari ,1982-12-31,0,ZIM
BB McCullum ,1982-12-31,0,NZ
BB Seebaran ,1982-12-31,0,CAN
BC Broad ,1982-12-31,0,ENG
BC Fortuin ,1982-12-31,0,SA
BC Hollioake ,1982-12-31,0,ENG
BC Lara ,1982-12-31,0,WI
BC Rose ,1982-12-31,0,ENG
BC Strang ,1982-12-31,0,ZIM
BCJ Cutting ,1982-12-31,0,AUS
BD Glover ,1982-12-31,0,NED
BD Julien ,1982-12-31,0,WI
BDH Stevens ,1982-12-31,0,JER
BE Congdon ,1982-12-31,0,NZ
BE Hendricks ,1982-12-31,0,SA
BE Young ,1982-12-31,0,AUS
BF Hastings ,1982-12-31,0,NZ
BFW de Leede ,1982-12-31,0,NED
BG Hadlee ,1982-12-31,0,NZ
BG Lister ,1982-12-31,0,NZ
BG Rogers ,1982-12-31,0,ZIM
BGK Walker ,1982-12-31,0,NZ
BHG Gorlee ,1982-12-31,0,NED
Bhupinder Singh snr ,1982-12-31,0,IND
Bikram Sob ,1982-12-31,0,NEP
Bilal Asif ,1982-12-31,0,PAK
Bilal Khan ,1982-12-31,0,OMA
Bilawal Bhatti ,1982-12-31,0,PAK
BJ Diamanti ,1982-12-31,0,NZ
BJ Haddin ,1982-12-31,0,AUS
BJ Hodge ,1982-12-31,0,AUS
BJ McCarthy ,1982-12-31,0,IRE
BJ McKechnie ,1982-12-31,0,NZ
BJ Patel ,1982-12-31,0,KENYA
BJ Watling ,1982-12-31,0,NZ
BKG Mendis ,1982-12-31,0,SL
BKV Prasad ,1982-12-31,0,IND
BL Cairns ,1982-12-31,35,NZ
BL D'Oliveira ,1982-12-31,0,ENG
BL Kotze ,1982-12-31,0,NAM
BM Duckett ,1982-12-31,0,ENG
BM Laird ,1982-12-31,367,AUS
BM Mauricette ,1982-12-31,0,CAN
BM McMillan ,1982-12-31,0,SA
BM Scholtz ,1982-12-31,0,NAM
BM Tickner ,1982-12-31,0,NZ
BM Wheeler ,1982-12-31,0,NZ
BMAJ Mendis ,1982-12-31,0,SL
BMW Patterson ,1982-12-31,0,SCOT
BN Cooper ,1982-12-31,0,NED
BN French ,1982-12-31,0,ENG
BN Schultz ,1982-12-31,0,SA
BO van Rooi ,1982-12-31,0,NAM
BOP Fernando ,1982-12-31,0,SL
BP Bracewell ,1982-12-31,0,NZ
BP Julian ,1982-12-31,0,AUS
BP Kruger ,1982-12-31,0,NED
BP Loots ,1982-12-31,0,NED
BP Nash ,1982-12-31,0,WI
BP Patel ,1982-12-31,0,IND
BP Patterson ,1982-12-31,0,WI
BR Blair ,1982-12-31,31,NZ
BR Dorey ,1982-12-31,0,AUS
BR Hartland ,1982-12-31,0,NZ
BR McDermott ,1982-12-31,0,AUS
BR Taylor ,1982-12-31,0,NZ
BRM Taylor ,1982-12-31,0,ZIM
BS Bedi ,1982-12-31,0,IND
BS Browne ,1982-12-31,0,WI
BS Chandrasekhar ,1982-12-31,0,IND
BS Sandhu ,1982-12-31,0,IND
BT Foakes ,1982-12-31,0,ENG
BTJ Wheal ,1982-12-31,0,SCOT
BV Vitori ,1982-12-31,0,ZIM
BW Hilfenhaus ,1982-12-31,0,AUS
BW Luckhurst ,1982-12-31,0,ENG
C Campher ,1982-12-31,0,IRE
C Carter ,1982-12-31,0,HKG
C de Grandhomme ,1982-12-31,0,NZ
C Floyd ,1982-12-31,0,NED
C Green ,1982-12-31,0,AUS
C Gunasekara ,1982-12-31,0,SL
C Hemraj ,1982-12-31,0,WI
C Jonker ,1982-12-31,0,SA
C Karunaratne ,1982-12-31,0,SL
C Kieswetter ,1982-12-31,0,ENG
C Madande ,1982-12-31,0,ZIM
C McAuslan ,1982-12-31,0,HKG
C Munro ,1982-12-31,0,NZ
C Overton ,1982-12-31,0,ENG
C Pringle ,1982-12-31,0,NZ
C Sakariya ,1982-12-31,0,IND
C Sharma ,1982-12-31,0,IND
C Viljoen ,1982-12-31,0,NAM
C White ,1982-12-31,0,ENG
C Zhuwao ,1982-12-31,0,ZIM
CA Best ,1982-12-31,0,WI
CA Ingram ,1982-12-31,0,SA
CA Lynn ,1982-12-31,0,AUS
CA Marshall ,1982-12-31,0,CAN
CA Pujara ,1982-12-31,0,IND
CA Reid ,1982-12-31,0,USA
CA Soper ,1982-12-31,0,PNG
CA Walsh ,1982-12-31,0,WI
CA Young ,1982-12-31,0,IRE
CAH Stevenson ,1982-12-31,0,USA
CAK Rajitha ,1982-12-31,0,SL
CAK Walton ,1982-12-31,0,WI
CB Lambert ,1982-12-31,0,WI
CB Mpofu ,1982-12-31,0,ZIM
CB Sole ,1982-12-31,0,SCOT
CB Wishart ,1982-12-31,0,ZIM
CBRLS Kumara ,1982-12-31,0,SL
CC Henry ,1982-12-31,0,CAN
CC Lewis ,1982-12-31,0,ENG
CD Collymore ,1982-12-31,0,WI
CD Cumming ,1982-12-31,0,NZ
CD de Lange ,1982-12-31,0,SCOT
CD McMillan ,1982-12-31,0,NZ
CD Wallace ,1982-12-31,0,SCOT
CE Bulfin ,1982-12-31,0,NZ
CE Cuffy ,1982-12-31,0,WI
CE Eksteen ,1982-12-31,0,SA
CE McConchie ,1982-12-31,0,NZ
CEB Rice ,1982-12-31,0,SA
CEH Croft ,1982-12-31,0,WI
CEL Ambrose ,1982-12-31,0,WI
CEL Stuart ,1982-12-31,0,WI
CEW Silverwood ,1982-12-31,0,ENG
CG Greenidge ,1982-12-31,438,WI
CG Rackemann ,1982-12-31,0,AUS
CG Williams ,1982-12-31,0,NAM
